Dataset,Architecture,Batch Size,Learning Rate,Scheduler,Optimizer,Final Train Loss,Min Train Loss,Final Test Loss,Final Train Accuracy,Final Test Accuracy,Best Test Accuracy,Convergence Epoch,Gradient Norms,Folder
MNIST,PlainNet,128,0.001,Cosine,Adam,0.07244420051574707,0.0032210538629442453,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.0322438636992841), 'final': 1.154891014099121, 'max': 11.12922191619873, 'min': 0.09621839225292206}}",MNISTPlainNet_BS128_LR0.001_SCHDLCosine_Adam
MNIST,PlainNet,128,0.001,None,Adam,0.024995163083076477,0.006039467174559832,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.2354460415687967), 'final': 0.7936604619026184, 'max': 12.391526222229004, 'min': 0.17544391751289368}}",MNISTPlainNet_BS128_LR0.001_SCHDLNone_Adam
MNIST,PlainNet,128,0.001,StepLR,Adam,0.04634375497698784,0.001953946892172098,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.1558336034575676), 'final': 1.1304099559783936, 'max': 10.101609230041504, 'min': 0.052696432918310165}}",MNISTPlainNet_BS128_LR0.001_SCHDLStepLR_Adam
MNIST,PlainNet,128,0.005,Cosine,Adam,0.03800596296787262,0.00691469619050622,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.8822895383581202), 'final': 0.5104682445526123, 'max': 12.427945137023926, 'min': 0.15271061658859253}}",MNISTPlainNet_BS128_LR0.005_SCHDLCosine_Adam
MNIST,PlainNet,128,0.005,None,Adam,0.02884751558303833,0.00472817849367857,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.7854486007956748), 'final': 0.3570656478404999, 'max': 8.510199546813965, 'min': 0.11191602796316147}}",MNISTPlainNet_BS128_LR0.005_SCHDLNone_Adam
MNIST,PlainNet,128,0.005,StepLR,Adam,0.06528592109680176,0.006267007440328598,,,,,8.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.9101656519986213), 'final': 0.5504415035247803, 'max': 13.221261978149414, 'min': 0.10445134341716766}}",MNISTPlainNet_BS128_LR0.005_SCHDLStepLR_Adam
MNIST,PlainNet,128,0.01,Cosine,Adam,0.04215165972709656,0.005502068903297186,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.8099862311748748), 'final': 0.364364892244339, 'max': 15.13071060180664, 'min': 0.07590827345848083}}",MNISTPlainNet_BS128_LR0.01_SCHDLCosine_Adam
MNIST,PlainNet,128,0.01,None,Adam,0.038507409393787384,0.005654813721776009,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6960702524223226), 'final': 0.3161860406398773, 'max': 12.055902481079102, 'min': 0.06552311778068542}}",MNISTPlainNet_BS128_LR0.01_SCHDLNone_Adam
MNIST,PlainNet,128,0.01,StepLR,Adam,0.01518934965133667,0.01518934965133667,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.7464844108896053), 'final': 0.18577253818511963, 'max': 12.105669021606445, 'min': 0.18577253818511963}}",MNISTPlainNet_BS128_LR0.01_SCHDLStepLR_Adam
MNIST,PlainNet,32,0.001,Cosine,Adam,0.002174362540245056,0.0003355177177581936,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.0140935565949358), 'final': 0.058779772371053696, 'max': 10.236258506774902, 'min': 0.008599690161645412}}",MNISTPlainNet_BS32_LR0.001_SCHDLCosine_Adam
MNIST,PlainNet,32,0.001,None,Adam,0.15324009954929352,0.0005969954654574394,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.0674845171458227), 'final': 1.9457855224609375, 'max': 12.048453330993652, 'min': 0.013373157940804958}}",MNISTPlainNet_BS32_LR0.001_SCHDLNone_Adam
MNIST,PlainNet,32,0.001,StepLR,Adam,0.011314252391457558,0.00046618777560070157,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.1420310626222574), 'final': 0.4076685905456543, 'max': 10.413817405700684, 'min': 0.011844338849186897}}",MNISTPlainNet_BS32_LR0.001_SCHDLStepLR_Adam
MNIST,PlainNet,32,0.005,Cosine,Adam,0.15186762809753418,0.0008619888685643673,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.7371196519147526), 'final': 0.8691108226776123, 'max': 9.861008644104004, 'min': 0.01342393271625042}}",MNISTPlainNet_BS32_LR0.005_SCHDLCosine_Adam
MNIST,PlainNet,32,0.005,None,Adam,0.06320896744728088,0.0015782032860442996,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6883438714938437), 'final': 0.4904697835445404, 'max': 15.903863906860352, 'min': 0.022802671417593956}}",MNISTPlainNet_BS32_LR0.005_SCHDLNone_Adam
MNIST,PlainNet,32,0.005,StepLR,Adam,0.0012047633063048124,0.0009035275434143841,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6763738742633227), 'final': 0.0156279057264328, 'max': 13.143118858337402, 'min': 0.008989685215055943}}",MNISTPlainNet_BS32_LR0.005_SCHDLStepLR_Adam
MNIST,PlainNet,32,0.01,Cosine,Adam,0.0535576231777668,0.001489441143348813,,,,,9.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.7061905718775109), 'final': 0.6162974238395691, 'max': 14.057642936706543, 'min': 0.014318658970296383}}",MNISTPlainNet_BS32_LR0.01_SCHDLCosine_Adam
MNIST,PlainNet,32,0.01,None,Adam,0.17885583639144897,0.0027215282898396254,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6425371842280506), 'final': 1.13094162940979, 'max': 14.11205005645752, 'min': 0.024881752207875252}}",MNISTPlainNet_BS32_LR0.01_SCHDLNone_Adam
MNIST,PlainNet,32,0.01,StepLR,Adam,0.10570080578327179,0.0013509707059711218,,,,,6.0,"{'StressTest/GradientNorm': {'avg': np.float64(0.6312676174912919), 'final': 0.5747734904289246, 'max': 13.376837730407715, 'min': 0.013628180138766766}}",MNISTPlainNet_BS32_LR0.01_SCHDLStepLR_Adam
MNIST,PlainNet,64,0.001,Cosine,Adam,0.06677411496639252,0.0038625921588391066,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.1942329206999311), 'final': 1.0990046262741089, 'max': 11.378755569458008, 'min': 0.13503244519233704}}",MNISTPlainNet_BS64_LR0.001_SCHDLCosine_Adam
MNIST,PlainNet,64,0.001,None,Adam,0.054719291627407074,0.0018215274903923273,,,,,5.0,"{'StressTest/GradientNorm': {'avg': np.float64(1.054979435386176), 'final': 1.0625861883163452, 'max': 12.396358489990234, 'min': 0.05585203319787979}}",MNISTPlainNet_BS64_LR0.001_SCHDLNone_Adam
