Dataset,Architecture,Batch Size,Learning Rate,Scheduler,Optimizer,Final Train Loss,Min Train Loss,Final Test Loss,Final Train Accuracy,Final Test Accuracy,Best Test Accuracy,Convergence Epoch,Gradient Norms,Folder
CIFAR10,PlainNet,128,0.001,Cosine,Adam,0.7256404161453247,0.4544200003147125,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.1532309054718604), 'final': 3.378185987472534, 'max': 8.432719230651855, 'min': 1.5509928464889526}}",CIFAR10PlainNet_BS128_LR0.001_SCHDLCosine_Adam
CIFAR10,PlainNet,128,0.001,None,Adam,0.8329683542251587,0.4575614631175995,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(2.8633681074737587), 'final': 4.4542155265808105, 'max': 5.751847743988037, 'min': 1.8384013175964355}}",CIFAR10PlainNet_BS128_LR0.001_SCHDLNone_Adam
CIFAR10,PlainNet,128,0.001,StepLR,Adam,0.5965514183044434,0.45304805040359497,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(2.940292034673569), 'final': 3.1473183631896973, 'max': 6.2423787117004395, 'min': 1.4591459035873413}}",CIFAR10PlainNet_BS128_LR0.001_SCHDLStepLR_Adam
CIFAR10,PlainNet,128,0.005,Cosine,Adam,0.8694726824760437,0.730323851108551,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.0876274680390077), 'final': 1.2126476764678955, 'max': 6.461981773376465, 'min': 0.4884233772754669}}",CIFAR10PlainNet_BS128_LR0.005_SCHDLCosine_Adam
CIFAR10,PlainNet,128,0.005,None,Adam,0.8532199859619141,0.7596101760864258,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.0485152980250776), 'final': 1.042373538017273, 'max': 3.7895970344543457, 'min': 0.5441868901252747}}",CIFAR10PlainNet_BS128_LR0.005_SCHDLNone_Adam
CIFAR10,PlainNet,128,0.005,StepLR,Adam,1.02065110206604,0.7685360908508301,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.2360339729072494), 'final': 1.473695158958435, 'max': 4.357320785522461, 'min': 0.6485726237297058}}",CIFAR10PlainNet_BS128_LR0.005_SCHDLStepLR_Adam
CIFAR10,PlainNet,128,0.01,Cosine,Adam,1.2107269763946533,0.9339883327484131,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.8002520946895375), 'final': 1.1934404373168945, 'max': 7.7461371421813965, 'min': 0.24517512321472168}}",CIFAR10PlainNet_BS128_LR0.01_SCHDLCosine_Adam
CIFAR10,PlainNet,128,0.01,None,Adam,1.1982322931289673,0.9170565009117126,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.7720566671065358), 'final': 1.1883313655853271, 'max': 4.13055944442749, 'min': 0.36481359601020813}}",CIFAR10PlainNet_BS128_LR0.01_SCHDLNone_Adam
CIFAR10,PlainNet,128,0.01,StepLR,Adam,1.399255394935608,1.0409821271896362,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.8202689656211287), 'final': 1.1909748315811157, 'max': 3.157381772994995, 'min': 0.22066643834114075}}",CIFAR10PlainNet_BS128_LR0.01_SCHDLStepLR_Adam
CIFAR10,PlainNet,32,0.001,Cosine,Adam,1.0611300468444824,0.3201192021369934,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.17829398762623), 'final': 4.372416019439697, 'max': 8.078899383544922, 'min': 1.4743168354034424}}",CIFAR10PlainNet_BS32_LR0.001_SCHDLCosine_Adam
CIFAR10,PlainNet,32,0.001,None,Adam,0.6966148018836975,0.33880725502967834,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.2547635366271415), 'final': 4.5307416915893555, 'max': 9.712563514709473, 'min': 1.4964463710784912}}",CIFAR10PlainNet_BS32_LR0.001_SCHDLNone_Adam
CIFAR10,PlainNet,32,0.001,StepLR,Adam,0.625473141670227,0.2706252336502075,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.2194195996319266), 'final': 2.748915195465088, 'max': 11.399230003356934, 'min': 1.337471604347229}}",CIFAR10PlainNet_BS32_LR0.001_SCHDLStepLR_Adam
CIFAR10,PlainNet,32,0.005,Cosine,Adam,1.5169651508331299,0.644512414932251,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.3665351968122763), 'final': 2.086357831954956, 'max': 7.884974479675293, 'min': 0.5350804924964905}}",CIFAR10PlainNet_BS32_LR0.005_SCHDLCosine_Adam
CIFAR10,PlainNet,32,0.005,None,Adam,1.4136576652526855,0.6378903388977051,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.3493255024831874), 'final': 2.6027772426605225, 'max': 8.327838897705078, 'min': 0.5188257694244385}}",CIFAR10PlainNet_BS32_LR0.005_SCHDLNone_Adam
CIFAR10,PlainNet,32,0.005,StepLR,Adam,1.145738124847412,0.7289538383483887,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.2727991839555006), 'final': 1.9600473642349243, 'max': 6.74350118637085, 'min': 0.48122313618659973}}",CIFAR10PlainNet_BS32_LR0.005_SCHDLStepLR_Adam
CIFAR10,PlainNet,32,0.01,Cosine,Adam,1.4777520895004272,1.301976203918457,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.8361520755466405), 'final': 1.288957953453064, 'max': 11.729373931884766, 'min': 0.2685125172138214}}",CIFAR10PlainNet_BS32_LR0.01_SCHDLCosine_Adam
CIFAR10,PlainNet,32,0.01,None,Adam,1.3769471645355225,1.0466303825378418,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.9348529906930332), 'final': 1.449506402015686, 'max': 6.325554370880127, 'min': 0.33562272787094116}}",CIFAR10PlainNet_BS32_LR0.01_SCHDLNone_Adam
CIFAR10,PlainNet,32,0.01,StepLR,Adam,1.5165380239486694,1.1816966533660889,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.8224610532161447), 'final': 1.055075764656067, 'max': 7.214018821716309, 'min': 0.3063277304172516}}",CIFAR10PlainNet_BS32_LR0.01_SCHDLStepLR_Adam
CIFAR10,PlainNet,64,0.001,Cosine,Adam,0.962218165397644,0.40316343307495117,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.0575117117913484), 'final': 5.259230613708496, 'max': 7.871679782867432, 'min': 1.6451778411865234}}",CIFAR10PlainNet_BS64_LR0.001_SCHDLCosine_Adam
CIFAR10,PlainNet,64,0.001,None,Adam,0.851270318031311,0.29240813851356506,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.043630972420773), 'final': 6.642055511474609, 'max': 8.122958183288574, 'min': 1.6541163921356201}}",CIFAR10PlainNet_BS64_LR0.001_SCHDLNone_Adam
CIFAR10,PlainNet,64,0.001,StepLR,Adam,0.4503962993621826,0.3907411992549896,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.080855858508888), 'final': 2.8611154556274414, 'max': 9.35308837890625, 'min': 1.737307071685791}}",CIFAR10PlainNet_BS64_LR0.001_SCHDLStepLR_Adam
CIFAR10,PlainNet,64,0.005,Cosine,Adam,1.274344563484192,0.8073676824569702,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.1202556184643064), 'final': 2.3498339653015137, 'max': 6.475103855133057, 'min': 0.4930441379547119}}",CIFAR10PlainNet_BS64_LR0.005_SCHDLCosine_Adam
CIFAR10,PlainNet,64,0.005,None,Adam,1.3884440660476685,0.8275730609893799,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.0971165452771785), 'final': 2.6008358001708984, 'max': 5.5453715324401855, 'min': 0.5086221098899841}}",CIFAR10PlainNet_BS64_LR0.005_SCHDLNone_Adam
CIFAR10,PlainNet,64,0.005,StepLR,Adam,0.9520338773727417,0.7123249769210815,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.176512449278551), 'final': 1.8751332759857178, 'max': 6.665590286254883, 'min': 0.5559806227684021}}",CIFAR10PlainNet_BS64_LR0.005_SCHDLStepLR_Adam
CIFAR10,PlainNet,64,0.01,Cosine,Adam,1.744095802307129,1.0941789150238037,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.8279887680507377), 'final': 1.7791574001312256, 'max': 4.847663879394531, 'min': 0.34521281719207764}}",CIFAR10PlainNet_BS64_LR0.01_SCHDLCosine_Adam
CIFAR10,PlainNet,64,0.01,None,Adam,1.4929405450820923,1.1484429836273193,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.8755332186932454), 'final': 1.759395956993103, 'max': 11.378172874450684, 'min': 0.34977641701698303}}",CIFAR10PlainNet_BS64_LR0.01_SCHDLNone_Adam
CIFAR10,PlainNet,64,0.01,StepLR,Adam,1.4167544841766357,1.0164920091629028,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(0.8094191270601719), 'final': 1.6453865766525269, 'max': 5.650638580322266, 'min': 0.23902784287929535}}",CIFAR10PlainNet_BS64_LR0.01_SCHDLStepLR_Adam
CIFAR10,ResNet,128,0.001,Cosine,Adam,0.45834246277809143,0.31817489862442017,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(3.0387641512829324), 'final': 2.941100835800171, 'max': 5.8344221115112305, 'min': 1.8678115606307983}}",CIFAR10ResNet_BS128_LR0.001_SCHDLCosine_Adam
CIFAR10,ResNet,128,0.001,None,Adam,0.7677411437034607,0.3694169521331787,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(2.8352659401686293), 'final': 4.119368553161621, 'max': 4.677626132965088, 'min': 1.690211296081543}}",CIFAR10ResNet_BS128_LR0.001_SCHDLNone_Adam
CIFAR10,ResNet,128,0.001,StepLR,Adam,0.3831619620323181,0.35487914085388184,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(2.984214773263468), 'final': 2.048388719558716, 'max': 5.420157432556152, 'min': 1.7787548303604126}}",CIFAR10ResNet_BS128_LR0.001_SCHDLStepLR_Adam
CIFAR10,ResNet,128,0.005,Cosine,Adam,0.5922061204910278,0.4955090284347534,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.3856495462415164), 'final': 1.385767936706543, 'max': 5.20394229888916, 'min': 0.730301022529602}}",CIFAR10ResNet_BS128_LR0.005_SCHDLCosine_Adam
CIFAR10,ResNet,128,0.005,None,Adam,0.7892431020736694,0.4855174422264099,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.2746817771126242), 'final': 1.6370877027511597, 'max': 3.971235990524292, 'min': 0.7089478373527527}}",CIFAR10ResNet_BS128_LR0.005_SCHDLNone_Adam
CIFAR10,ResNet,128,0.005,StepLR,Adam,0.6328800320625305,0.5283023118972778,,,,,,"{'StressTest/GradientNorm': {'avg': np.float64(1.3694534696276535), 'final': 1.3466213941574097, 'max': 4.462742805480957, 'min': 0.7517829537391663}}",CIFAR10ResNet_BS128_LR0.005_SCHDLStepLR_Adam
