Dataset,Architecture,Batch Size,Learning Rate,Scheduler,Optimizer,Final Train Loss,Min Train Loss,Final Test Loss,Final Train Accuracy,Final Test Accuracy,Best Test Accuracy,Convergence Epoch,Gradient Norms,Folder
MNIST,PlainNet,32,0.001,Cosine,SGD,0.0076342131942510605,0.0018712794408202171,,,,,840,"{'StressTest/GradientNorm': {'avg': np.float64(2.9166072966212035), 'final': 0.31875982880592346, 'max': 14.156169891357422, 'min': 0.02526814490556717}}",MNIST_PlainNet_BS32_LR0.001_SCHDLCosine_SGD
MNIST,PlainNet,32,0.001,None,SGD,0.13933435082435608,0.002496210392564535,,,,,871,"{'StressTest/GradientNorm': {'avg': np.float64(2.895488557121754), 'final': 5.794445037841797, 'max': 15.092155456542969, 'min': 0.032167356461286545}}",MNIST_PlainNet_BS32_LR0.001_SCHDLNone_SGD
MNIST,PlainNet,32,0.001,StepLR,SGD,0.016671165823936462,0.0023467440623790026,,,,,872,"{'StressTest/GradientNorm': {'avg': np.float64(2.828526159182787), 'final': 1.202399492263794, 'max': 23.284141540527344, 'min': 0.03263252601027489}}",MNIST_PlainNet_BS32_LR0.001_SCHDLStepLR_SGD
MNIST,PlainNet,32,0.005,Cosine,SGD,0.0025496012531220913,0.0008785786922089756,,,,,290,"{'StressTest/GradientNorm': {'avg': np.float64(1.4565214407859246), 'final': 0.045927952975034714, 'max': 8.141738891601562, 'min': 0.009825553745031357}}",MNIST_PlainNet_BS32_LR0.005_SCHDLCosine_SGD
MNIST,PlainNet,32,0.005,None,SGD,0.04146182909607887,0.0009481420274823904,,,,,261,"{'StressTest/GradientNorm': {'avg': np.float64(1.4165752260826032), 'final': 1.7941148281097412, 'max': 15.075746536254883, 'min': 0.011922246776521206}}",MNIST_PlainNet_BS32_LR0.005_SCHDLNone_SGD
MNIST,PlainNet,32,0.005,StepLR,SGD,0.04542618244886398,0.0009857938857749104,,,,,260,"{'StressTest/GradientNorm': {'avg': np.float64(1.416199445096155), 'final': 2.7347614765167236, 'max': 8.947037696838379, 'min': 0.011022175662219524}}",MNIST_PlainNet_BS32_LR0.005_SCHDLStepLR_SGD
MNIST,PlainNet,32,0.01,Cosine,SGD,0.015288285911083221,0.0009669322171248496,,,,,205,"{'StressTest/GradientNorm': {'avg': np.float64(1.0663020810301105), 'final': 0.37876802682876587, 'max': 10.316749572753906, 'min': 0.01078205555677414}}",MNIST_PlainNet_BS32_LR0.01_SCHDLCosine_SGD
MNIST,PlainNet,32,0.01,None,SGD,0.024839140474796295,0.0008997740224003792,,,,,184,"{'StressTest/GradientNorm': {'avg': np.float64(1.082642603993515), 'final': 0.7645846605300903, 'max': 7.618384838104248, 'min': 0.008730754256248474}}",MNIST_PlainNet_BS32_LR0.01_SCHDLNone_SGD
MNIST,PlainNet,32,0.01,StepLR,SGD,0.0489581897854805,0.0009862873703241348,,,,,183,"{'StressTest/GradientNorm': {'avg': np.float64(1.0742708757205803), 'final': 2.0380568504333496, 'max': 8.311820983886719, 'min': 0.009750294499099255}}",MNIST_PlainNet_BS32_LR0.01_SCHDLStepLR_SGD
MNIST,PlainNet,64,0.001,None,SGD,0.04293002188205719,0.01012388989329338,,,,,810,"{'StressTest/GradientNorm': {'avg': np.float64(3.229096316424645), 'final': 2.5103068351745605, 'max': 9.611387252807617, 'min': 0.14526037871837616}}",MNIST_PlainNet_BS64_LR0.001_SCHDLNone_SGD
MNIST,PlainNet,64,0.005,Cosine,SGD,0.005255687981843948,0.0014560224954038858,,,,,209,"{'StressTest/GradientNorm': {'avg': np.float64(1.5190950602912572), 'final': 0.1839894950389862, 'max': 6.356889247894287, 'min': 0.02080000564455986}}",MNIST_PlainNet_BS64_LR0.005_SCHDLCosine_SGD
MNIST,PlainNet,64,0.005,None,SGD,0.029820488765835762,0.001417252467945218,,,,,239,"{'StressTest/GradientNorm': {'avg': np.float64(1.5193475922871469), 'final': 1.9855222702026367, 'max': 7.168148517608643, 'min': 0.019541725516319275}}",MNIST_PlainNet_BS64_LR0.005_SCHDLNone_SGD
MNIST,PlainNet,64,0.005,StepLR,SGD,0.011621061712503433,0.0015863467706367373,,,,,262,"{'StressTest/GradientNorm': {'avg': np.float64(1.5096716898543112), 'final': 0.7011944055557251, 'max': 6.122052192687988, 'min': 0.019302040338516235}}",MNIST_PlainNet_BS64_LR0.005_SCHDLStepLR_SGD
MNIST,PlainNet,64,0.01,Cosine,SGD,0.022689728066325188,0.00150393508374691,,,,,182,"{'StressTest/GradientNorm': {'avg': np.float64(1.1327525434292742), 'final': 1.3528563976287842, 'max': 8.296675682067871, 'min': 0.018283935263752937}}",MNIST_PlainNet_BS64_LR0.01_SCHDLCosine_SGD
MNIST,PlainNet,64,0.01,None,SGD,0.026168808341026306,0.0012527566868811846,,,,,198,"{'StressTest/GradientNorm': {'avg': np.float64(1.104632471001415), 'final': 1.678215503692627, 'max': 5.6429901123046875, 'min': 0.012942830100655556}}",MNIST_PlainNet_BS64_LR0.01_SCHDLNone_SGD
MNIST,PlainNet,64,0.01,StepLR,SGD,0.0162154920399189,0.000985675840638578,,,,,177,"{'StressTest/GradientNorm': {'avg': np.float64(1.1382580552105186), 'final': 0.9471884369850159, 'max': 5.351824760437012, 'min': 0.013677463866770267}}",MNIST_PlainNet_BS64_LR0.01_SCHDLStepLR_SGD
MNIST,ResNet,128,0.001,Cosine,SGD,0.014183557592332363,0.007466913666576147,,,,,459,"{'StressTest/GradientNorm': {'avg': np.float64(2.0476489413267513), 'final': 0.9526299238204956, 'max': 7.595067024230957, 'min': 0.19155791401863098}}",MNIST_ResNet_BS128_LR0.001_SCHDLCosine_SGD
MNIST,ResNet,128,0.001,None,SGD,0.01172884926199913,0.007492416072636843,,,,,485,"{'StressTest/GradientNorm': {'avg': np.float64(2.23918534077561), 'final': 0.542982816696167, 'max': 9.010808944702148, 'min': 0.26690664887428284}}",MNIST_ResNet_BS128_LR0.001_SCHDLNone_SGD
MNIST,ResNet,128,0.001,StepLR,SGD,0.026348300278186798,0.007730718702077866,,,,,532,"{'StressTest/GradientNorm': {'avg': np.float64(1.920541395281932), 'final': 1.4104962348937988, 'max': 4.224678039550781, 'min': 0.2865298092365265}}",MNIST_ResNet_BS128_LR0.001_SCHDLStepLR_SGD
MNIST,ResNet,128,0.005,Cosine,SGD,0.043880295008420944,0.0014128638431429863,,,,,136,"{'StressTest/GradientNorm': {'avg': np.float64(1.2502446172270438), 'final': 1.5213122367858887, 'max': 3.5199687480926514, 'min': 0.07071420550346375}}",MNIST_ResNet_BS128_LR0.005_SCHDLCosine_SGD
MNIST,ResNet,128,0.005,None,SGD,0.04272143915295601,0.0014644467737525702,,,,,142,"{'StressTest/GradientNorm': {'avg': np.float64(1.2624435154518594), 'final': 1.9103761911392212, 'max': 5.567948818206787, 'min': 0.051055312156677246}}",MNIST_ResNet_BS128_LR0.005_SCHDLNone_SGD
MNIST,ResNet,128,0.005,StepLR,SGD,0.008239679038524628,0.0017984434962272644,,,,,162,"{'StressTest/GradientNorm': {'avg': np.float64(1.2491884028765439), 'final': 0.4555571377277374, 'max': 3.812429904937744, 'min': 0.06696625798940659}}",MNIST_ResNet_BS128_LR0.005_SCHDLStepLR_SGD
MNIST,ResNet,128,0.01,Cosine,SGD,0.005202940199524164,0.0013279144186526537,,,,,101,"{'StressTest/GradientNorm': {'avg': np.float64(0.977192046321722), 'final': 0.2208467423915863, 'max': 4.072081089019775, 'min': 0.03163387253880501}}",MNIST_ResNet_BS128_LR0.01_SCHDLCosine_SGD
MNIST,ResNet,128,0.01,None,SGD,0.030834859237074852,0.0009319646051153541,,,,,90,"{'StressTest/GradientNorm': {'avg': np.float64(0.9425537003748325), 'final': 1.4493985176086426, 'max': 4.553465843200684, 'min': 0.025145914405584335}}",MNIST_ResNet_BS128_LR0.01_SCHDLNone_SGD
MNIST,ResNet,128,0.01,StepLR,SGD,0.08349908143281937,0.0008526181918568909,,,,,99,"{'StressTest/GradientNorm': {'avg': np.float64(0.9630847912361182), 'final': 1.2327724695205688, 'max': 3.773341655731201, 'min': 0.0238021332770586}}",MNIST_ResNet_BS128_LR0.01_SCHDLStepLR_SGD
MNIST,ResNet,32,0.001,Cosine,SGD,0.02575242519378662,0.0005795434699393809,,,,,466,"{'StressTest/GradientNorm': {'avg': np.float64(2.2618272691720724), 'final': 1.791993498802185, 'max': 12.039929389953613, 'min': 0.01908523216843605}}",MNIST_ResNet_BS32_LR0.001_SCHDLCosine_SGD
MNIST,ResNet,32,0.001,None,SGD,0.26093411445617676,0.0008072683122009039,,,,,410,"{'StressTest/GradientNorm': {'avg': np.float64(2.3911749948815504), 'final': 5.092050552368164, 'max': 12.404190063476562, 'min': 0.020732693374156952}}",MNIST_ResNet_BS32_LR0.001_SCHDLNone_SGD
MNIST,ResNet,32,0.001,StepLR,SGD,0.0040401979349553585,0.000555249978788197,,,,,477,"{'StressTest/GradientNorm': {'avg': np.float64(2.31922262414515), 'final': 0.18537533283233643, 'max': 11.898856163024902, 'min': 0.017737066373229027}}",MNIST_ResNet_BS32_LR0.001_SCHDLStepLR_SGD
MNIST,ResNet,32,0.005,Cosine,SGD,0.017139596864581108,0.00034250569297000766,,,,,163,"{'StressTest/GradientNorm': {'avg': np.float64(1.1865961981456479), 'final': 1.1830941438674927, 'max': 6.630263805389404, 'min': 0.005731716752052307}}",MNIST_ResNet_BS32_LR0.005_SCHDLCosine_SGD
MNIST,ResNet,32,0.005,None,SGD,0.021062932908535004,0.0003349820035509765,,,,,153,"{'StressTest/GradientNorm': {'avg': np.float64(1.2439616965948541), 'final': 1.0066184997558594, 'max': 6.984986305236816, 'min': 0.006436862051486969}}",MNIST_ResNet_BS32_LR0.005_SCHDLNone_SGD
