Optimizer,Dataset,Architecture,BatchSize,LR,Scheduler,TestAccuracy
SGD,MNIST,PlainNet,1024,1e-05,Cosine,9.710000038146973
SGD,MNIST,PlainNet,128,0.01,StepLR,99.44000244140625
SGD,MNIST,PlainNet,512,0.1,None,98.98999786376953
SGD,MNIST,ResNet,1024,1e-05,None,20.1200008392334
SGD,MNIST,PlainNet,32,1e-05,Cosine,70.55000305175781
SGD,MNIST,PlainNet,128,0.001,None,99.30000305175781
SGD,MNIST,ResNet,1024,0.1,StepLR,99.19999694824219
SGD,MNIST,ResNet,512,1e-05,StepLR,22.40999984741211
SGD,MNIST,ResNet,128,0.1,Cosine,99.68000030517578
SGD,MNIST,PlainNet,512,1e-05,Cosine,15.899999618530273
SGD,MNIST,ResNet,128,0.0001,StepLR,98.25
SGD,MNIST,PlainNet,1024,0.001,None,97.94999694824219
SGD,MNIST,ResNet,512,0.1,Cosine,99.54000091552734
SGD,MNIST,ResNet,512,0.0001,StepLR,92.02999877929688
SGD,MNIST,PlainNet,32,0.1,Cosine,99.66999816894531
SGD,MNIST,PlainNet,512,0.001,None,98.87999725341797
SGD,MNIST,ResNet,128,0.0001,None,97.80999755859375
SGD,MNIST,ResNet,512,0.01,None,99.47000122070312
SGD,MNIST,ResNet,1024,1e-05,Cosine,9.760000228881836
SGD,MNIST,PlainNet,128,0.001,Cosine,99.41999816894531
SGD,MNIST,ResNet,128,0.001,StepLR,99.29000091552734
SGD,MNIST,PlainNet,1024,0.0001,Cosine,29.690000534057617
SGD,MNIST,PlainNet,1024,0.01,StepLR,99.1500015258789
SGD,MNIST,PlainNet,32,0.01,StepLR,99.16000366210938
SGD,MNIST,ResNet,1024,0.01,Cosine,99.30000305175781
SGD,MNIST,ResNet,512,0.1,None,98.8499984741211
SGD,MNIST,ResNet,32,0.1,None,98.31999969482422
SGD,MNIST,ResNet,32,0.001,None,99.4800033569336
SGD,MNIST,ResNet,1024,0.0001,Cosine,44.47999954223633
SGD,MNIST,PlainNet,128,0.0001,StepLR,97.38999938964844
SGD,MNIST,ResNet,32,0.001,Cosine,99.5
SGD,MNIST,PlainNet,512,0.01,Cosine,99.41000366210938
SGD,MNIST,PlainNet,512,0.0001,StepLR,58.290000915527344
SGD,MNIST,ResNet,1024,0.0001,None,69.98999786376953
SGD,MNIST,ResNet,32,0.01,StepLR,99.25
SGD,MNIST,ResNet,32,0.1,Cosine,99.69999694824219
SGD,MNIST,ResNet,32,0.01,None,99.33000183105469
SGD,MNIST,PlainNet,512,0.0001,None,69.9800033569336
SGD,MNIST,PlainNet,32,0.1,None,96.66999816894531
SGD,MNIST,PlainNet,1024,0.001,StepLR,97.98999786376953
SGD,MNIST,ResNet,512,0.01,StepLR,99.52999877929688
SGD,MNIST,PlainNet,32,0.001,StepLR,99.44999694824219
SGD,MNIST,PlainNet,512,0.001,StepLR,98.98999786376953
SGD,MNIST,ResNet,512,0.001,Cosine,98.41000366210938
SGD,MNIST,PlainNet,1024,0.1,Cosine,99.30000305175781
SGD,MNIST,ResNet,512,0.001,None,98.72000122070312
SGD,MNIST,ResNet,32,0.0001,Cosine,98.95999908447266
SGD,MNIST,ResNet,32,1e-05,StepLR,95.62000274658203
SGD,MNIST,PlainNet,32,0.0001,StepLR,99.2699966430664
SGD,MNIST,PlainNet,32,0.001,None,99.33000183105469
SGD,MNIST,PlainNet,512,0.1,Cosine,99.55999755859375
SGD,MNIST,ResNet,128,0.01,Cosine,99.56999969482422
SGD,MNIST,ResNet,1024,0.001,StepLR,98.16999816894531
SGD,MNIST,PlainNet,512,0.01,None,99.37999725341797
SGD,MNIST,PlainNet,128,0.1,Cosine,99.5999984741211
SGD,MNIST,ResNet,128,1e-05,Cosine,38.540000915527344
SGD,MNIST,ResNet,128,0.001,None,99.30999755859375
SGD,MNIST,PlainNet,32,0.01,None,98.95999908447266
SGD,MNIST,PlainNet,128,1e-05,StepLR,32.66999816894531
SGD,MNIST,ResNet,512,0.0001,Cosine,67.41999816894531
SGD,MNIST,PlainNet,32,0.1,StepLR,98.48999786376953
SGD,MNIST,ResNet,512,0.1,StepLR,98.08999633789062
SGD,MNIST,PlainNet,32,1e-05,None,94.37000274658203
SGD,MNIST,ResNet,128,0.01,None,99.0
SGD,MNIST,ResNet,128,0.0001,Cosine,97.20999908447266
SGD,MNIST,ResNet,512,1e-05,None,27.450000762939453
SGD,MNIST,PlainNet,512,1e-05,StepLR,13.40999984741211
SGD,MNIST,ResNet,128,0.1,StepLR,98.95999908447266
SGD,MNIST,ResNet,512,1e-05,Cosine,17.5
SGD,MNIST,ResNet,1024,0.1,Cosine,99.54000091552734
SGD,MNIST,ResNet,128,1e-05,None,62.52000045776367
SGD,MNIST,PlainNet,32,1e-05,StepLR,75.12000274658203
SGD,MNIST,ResNet,1024,0.01,None,99.16999816894531
SGD,MNIST,PlainNet,128,0.01,Cosine,99.58999633789062
SGD,MNIST,PlainNet,1024,1e-05,StepLR,9.600000381469727
SGD,MNIST,PlainNet,512,0.0001,Cosine,38.31999969482422
SGD,MNIST,PlainNet,512,0.01,StepLR,99.29000091552734
SGD,MNIST,ResNet,32,0.001,StepLR,99.5199966430664
SGD,MNIST,PlainNet,128,0.0001,Cosine,96.05999755859375
SGD,MNIST,ResNet,1024,0.0001,StepLR,68.29000091552734
SGD,MNIST,ResNet,32,0.0001,None,99.19000244140625
